GROUP	SAMPLE.NAME	PLOT	SITE	TREATMENT	SUBSTRATE
A1	A1	A1	A	Amb	root
A1ms	A1MS	A1	A	Amb	mineral.soil
A1p	A1P	A1	A	Amb	root.p
A2	A2	A2	A	Amb	root
A2ms	A2MS	A2	A	Amb	mineral.soil
A2p	A2P	A2	A	Amb	root.p
A3	A3	A3	A	Amb	root
A3ms	A3MS	A3	A	Amb	mineral.soil
A3p	A3P	A3	A	Amb	root.p
A4	A4	A4	A	Ndep	root
A4ms	A4MS	A4	A	Ndep	mineral.soil
A4p	A4P	A4	A	Ndep	root.p
A5	A5	A5	A	Ndep	root
A5ms	A5MS	A5	A	Ndep	mineral.soil
A5p	A5P	A5	A	Ndep	root.p
A6	A6	A6	A	Ndep	root
A6ms	A6MS	A6	A	Ndep	mineral.soil
A6p	A6P	A6	A	Ndep	root.p
P1	B1	B1	B	Amb	root
P1ms	B1MS	B1	B	Amb	mineral.soil
P1p	B1P	B1	B	Amb	root.p
P2	B2	B2	B	Amb	root
P2ms	B2MS	B2	B	Amb	mineral.soil
P2p	B2P	B2	B	Amb	root.p
P3	B3	B3	B	Amb	root
P3ms	B3MS	B3	B	Amb	mineral.soil
P3p	B3P	B3	B	Amb	root.p
P4	B4	B4	B	Ndep	root
P4ms	B4MS	B4	B	Ndep	mineral.soil
P4p	B4P	B4	B	Ndep	root.p
P5	B5	B5	B	Ndep	root
P5ms	B5MS	B5	B	Ndep	mineral.soil
P5p	B5P	B5	B	Ndep	root.p
P6	B6	B6	B	Ndep	root
P6ms	B6MS	B6	B	Ndep	mineral.soil
P6p	B6P	B6	B	Ndep	root.p
W1	C1	C1	C	Amb	root
W1ms	C1MS	C1	C	Amb	mineral.soil
W1p	C1P	C1	C	Amb	root.p
W2	C2	C2	C	Amb	root
W2ms	C2MS	C2	C	Amb	mineral.soil
W2p	C2P	C2	C	Amb	root.p
W3	C3	C3	C	Amb	root
W3ms	C3MS	C3	C	Amb	mineral.soil
W3p	C3P	C3	C	Amb	root.p
W4	C4	C4	C	Ndep	root
W4ms	C4MS	C4	C	Ndep	mineral.soil
W4p	C4P	C4	C	Ndep	root.p
W5	C5	C5	C	Ndep	root
W5ms	C5MS	C5	C	Ndep	mineral.soil
W5p	C5P	C5	C	Ndep	root.p
W6	C6	C6	C	Ndep	root
W6ms	C6MS	C6	C	Ndep	mineral.soil
W6p	C6P	C6	C	Ndep	root.p
O1	D1	D1	D	Amb	root
O1ms	D1MS	D1	D	Amb	mineral.soil
O1p	D1P	D1	D	Amb	root.p
O2	D2	D2	D	Amb	root
O2ms	D2MS	D2	D	Amb	mineral.soil
O2p	D2P	D2	D	Amb	root.p
O3	D3	D3	D	Amb	root
O3ms	D3MS	D3	D	Amb	mineral.soil
O3p	D3P	D3	D	Amb	root.p
O4	D4	D4	D	Ndep	root
O4ms	D4MS	D4	D	Ndep	mineral.soil
O4p	D4P	D4	D	Ndep	root.p
O5	D5	D5	D	Ndep	root
O5ms	D5MS	D5	D	Ndep	mineral.soil
O5p	D5P	D5	D	Ndep	root.p
O6	D6	D6	D	Ndep	root
O6ms	D6MS	D6	D	Ndep	mineral.soil
O6p	D6P	D6	D	Ndep	root.p
