Compound_ID	Compound	Type	Source	A1	A1MS	A1P	A2	A2MS	A2P	A3	A3MS	A3P	A4	A4MS	A4P	A5	A5MS	A5P	A6	A6MS	A6P	B1	B1MS	B1P	B2	B2MS	B2P	B3	B3MS	B3P	B4	B4MS	B4P	B5	B5MS	B5P	B6	B6MS	B6P	C1	C1MS	C1P	C2	C2MS	C2P	C3	C3MS	C3P	C4	C4MS	C4P	C5	C5MS	C5P	C6	C6MS	C6P	D1	D1MS	D1P	D2	D2MS	D2P	D3	D3MS	D3P	D4	D4MS	D4P	D5	D5MS	D5P	D6	D6MS	D6P
compound.1	"Phenol, 3,4-dimethyl-"	Aromatic	Aromatic	0.005526804	0.020507528	0.004589471	0.005027334	0.005973551	0.005985734	0.00383498	0.009996045	0.006172881	0.005862486	0.076080082	0.008338601	0.006563236	0.021586954	0.005978868	0.00867876	0.016070238	0.007271796	0.006440556	0.004208318	0.004610659	0.006651347	0.018545797	0.01085368	0.015838613	0.008317314	0.008875628	0.005021837	0.025394965	0.013842904	0.005588597	0.017676359	0.010341008	0.008114381	0.020875864	0.012602123	0.007494603	0.014833115	0.003286257	0.002005488	0.023959859	0.001875081	0.009360403	0.006937855	0.002373514	0.014524033	0.009849109	0.008685154	0.005893325	0.00521344	0.002627682	0.006270909	0.022349698	0.006239762	0.01332059	0.016095105	0.008049621	0.006080964	0.03221097	0.012562869	0.006400153	0.007625589	0.013733871	0.008116547	0.007229978	0.004690233	0.010089237	0.012196099	0.007504193	0.015411357	0.028820887	0.005756359
compound.2	"Benzene, 1,2-diethyl-"	Aromatic	Aromatic	0.001045841	0.007871311	0.004031872	0.000986632	0.002896851	0	0	0	0.001009653	0.001365421	0.004020769	0	0.001061398	0	0	0	0	0	0.000793965	0	0	0	0.004044867	0	0	0	0.000832366	0	0.003608473	0	0.000458743	0.002919726	0	0.001123098	0.002232865	0	0.00170256	0.002807127	0.002894318	0.001172542	0.003222508	0.001245283	0.000998782	0.003792592	0.000504281	0	0.004455549	0.001084585	0.001258156	0	0.000453201	0	0.003396045	0.000485315	0	0.002810003	0	0.00044306	0.004404919	0.00093793	0	0.003672649	0.005212856	0.001665657	0.003270704	0	0.001357905	0.00410887	0	0.000893512	0.003686393	0.003777095
compound.3	Benzaldehyde	Aromatic	Aromatic	0.001122366	0.000924023	0.001430457	0.002955551	0.002010453	0.000543998	0.003382141	0.004966979	0.000809722	0.001042386	0.00329397	0.000640058	0	0.002523485	0.00055861	0.001807397	0.002799332	0.000988478	0.002207001	0.004556777	0.000335321	0.003200316	0.004257755	0.005827591	0.001195977	0.006082036	0.000790417	0.003659705	0	0.000544488	0.00204716	0.001267299	0.001358915	0	0.002681333	0.000565723	0.001615763	0.001499261	0.001673278	0.002486805	0.002577078	0.008387767	0.003289707	0	0.009164334	0.001249217	0.002016722	0.000567713	0.001658354	0.008442218	0.009949764	0.002139329	0.002338	0.002842558	0.001376461	0.003096847	0.001350548	0.001751927	0.001478794	0.001841575	0.000910129	0.004010648	0	0.001198426	0.001560757	0.001094388	0.001493696	0.003082778	0.002887599	0.000793079	0.001937032	0.002210178
compound.4	"Oxirane, ethenyl-"	Aromatic	Aromatic	0.000802095	0.00102406	0.001366118	0.000501285	0	0.000936591	0.003099117	0.000816447	0.000247915	0.000912275	0.010880727	0.000408005	0	0.001605074	0.000370952	0.00152896	0	0.001037092	0.001499095	0	0	0.000730026	0.00822893	0.000848257	0.002687971	0	0.000145498	0.000323301	0.000957737	0	0	0.000918381	0.001756646	0.002400621	0.00064112	0.001857599	0.001735944	0.011005215	0	0.001272816	0.008543826	0.001192322	0.000893647	0	0.000141344	0.000590744	0.010630785	0	0.002453268	0	0	0.002941578	0.008361323	0.000310062	0.003285746	0	0.000547821	0.000505266	0.009360453	0.00238768	0.000727759	0.006636324	0.002273106	0.001524499	0	0.000810568	0.002199807	0.008370754	0.00116217	0.002476207	0.008545728	0.001329406
compound.5	Acetophenone	Aromatic	Aromatic	0.001813926	0.010661809	0.001035848	0.001535727	0.005755163	0.001320383	0.002122683	0.007108989	0.001294556	0.001555353	0.01287836	0.002228727	0.001625426	0.006737876	0.000973203	0.001644568	0.003892673	0.001251802	0.001415812	0.00715682	0.000735126	0.001666524	0.006632272	0.001142141	0.002739008	0.007303641	0.00120108	0.00131454	0.006267347	0.001673453	0.001249216	0.004674195	0.001518007	0.000817054	0.005242653	0.001585292	0.001043235	0.006698826	0.001017534	0.001484061	0.00429513	0.001275341	0.00018653	0.002992949	0.001425563	0.002013046	0.011256125	0.000771072	0.001918757	0.007790538	0.00105993	0.002366633	0.004794882	0.001486758	0.002131294	0.010783189	0.001077755	0.001269512	0.008101905	0	0.000591842	0.007914125	0.002245538	0.001623309	0.00343137	0.001130466	0.001819593	0.003348302	0.001800293	0.00237231	0.007238734	0.001171064
compound.6	"Benzene, 1,2,3-trimethyl-"	Aromatic	Aromatic	0.00089846	0.000955614	0.00116238	0.000851894	0.011818638	0.001239399	0.00034812	0.004501325	0.001322046	0.000861427	0.006077906	0.001216365	0.000466605	0.006480378	0.000807365	0.000833682	0.006409244	0.00113837	0.000820338	0.001267856	0.000886665	0.000377549	0.005322193	0.000809852	0.00316432	0.001328171	0.001307058	0.000293761	0.004042575	0.001095128	0.00030035	0.006879626	0.001706929	0.000284986	0.006442778	0.00153463	0.000569189	0.010726097	0.000413043	0.000203223	0.009193899	0.000385036	0.000685073	0.004074371	0.000773392	0.002069487	0.017275025	0.000737179	0.00060852	0.002200901	0.000423677	0.000585641	0.008361323	0.001656233	0.001920385	0.010623831	0.000793782	0.001079086	0.00963576	0.001875859	0.000461086	0.008779733	0.00318285	0.002131476	0.004533081	0.000654227	0.001251989	0.010395937	0.001434887	0.002493523	0.011427817	0.000971489
compound.7	"Benzene, 1-ethenyl-3-methyl-"	Aromatic	Aromatic	0.000179975	0.00117938	0.000718445	0.000204281	0.002588539	0.000852087	0.000230665	0.002880848	0.000462341	0.00029462	0.004110025	0.000578857	0.000592229	0.003527729	0.000119577	0	0.003397842	0.000530699	0.000295655	0.001428684	0.000541672	0.001097251	0.002444115	0.000452515	0.00185436	0.000956491	0.000688855	0.000226475	0.00198059	0.000713679	0.000404949	0.003620856	0.001009243	0.000327102	0.003079269	0.00148819	0.000325489	0.005502607	0.000247223	0.000111371	0.004564446	0.000349252	0.000176355	0.002840636	0.000281234	0.001074252	0.005667146	0.000277501	0.000622226	0.002935522	0.000408915	0.00016045	0.005627052	0.000531535	0.001050107	0.007277324	0.00016457	0.000173923	0.004404919	0.000587737	0.000769051	0.005399742	0.001415992	0.000671909	0.004831461	0.000558017	0.001178662	0.006255564	0.000254893	0.001134207	0.005328513	0.000562441
compound.8	"Benzene, (1-methylethyl)-"	Aromatic	Aromatic	0.00058244	0.001992837	0.000611215	0	0.004162216	0.000440128	0.000459915	0.001986792	0.000674768	0.000512968	0.004590307	0.000663008	0.000638377	0.001090077	0.000490965	0	0.003138645	0.000864918	0	0.000651351	0.000635175	0	0.001993775	0.000385723	0.002517846	0	0.000340012	0	0.003337159	0.001079747	0	0.003818357	0.000233667	0.000762303	0.002927674	0.000622718	0.000282091	0.003796002	0	0.000157765	0.002163817	0.000332075	0.000810557	0.003366116	0.000368513	0.001053557	0.003517539	0.000489334	0	0.002387519	0.000249482	0.000982754	0.003245462	0.001143956	0.000876939	0.003983937	0.000686454	0.00104227	0.004798215	0.001177922	0	0.003050236	0	0	0.004183058	0	0.001357905	0.00477043	0	0.001253688	0.003518829	0.000555843
compound.9	Benzofuran	Aromatic	Aromatic	0.000853112	0.003369658	0.00091146	0.000478104	0.004194332	0.000883776	0.0004118	0	0.000722252	0.000429218	0	0.000693608	0.000397383	0.002261695	0.000360041	0.000635031	0.001602311	0.000648182	0.000445564	0.001104348	0.000438496	0.000517655	0.00295177	0.000425798	0.000862532	0.001601083	0.00063145	0.000638397	0.00295732	0.000747517	0.000530468	0	0.00077889	0.000516625	0.002141276	0.000772592	0.00068937	0.00194585	0	0.000363662	0.003255012	0.000350683	0.000771555	0.001888681	0.000467914	0.0009181	0.004260131	0.000491453	0.000511212	0.001395188	0.000370533	0.000458619	0	0.001502165	0.001070087	0.004547	0.000554529	0.000176462	0.003748114	0.000898747	0.000800019	0.003511893	0	0.00075378	0.00313299	0.000589286	0.00086227	0.0033348	0	0.001068405	0.003384779	0.000506362
compound.10	Benzene	Aromatic	Aromatic	0	0.000726583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000360847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000850383	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000810568	0	0	0.000987488	0	0	0.000499764
compound.11	Fluorene	Aromatic	Aromatic	0	0.001682196	0	0	0.007129722	0	0.000333969	0.001421798	0	0	0.005312855	0	0.000730673	0.002429069	0.000704808	0	0.00242703	0.000660336	0	0.000694238	0.001105913	0	0.011749765	0	0.000585229	0	0.00127394	0	0.002713137	0	0.000276441	0	0	0.001365968	0	0.001163111	0	0.002683518	0	0.00054683	0.002767457	0.00047378	0.001159876	0.001401279	0	0.003875584	0.007074162	0	0.001905052	0.001436658	0.000749923	0.001350452	0.003740801	0	0.008502977	0.007117967	0.001730669	0.002310513	0.007040005	0.001581991	0.000605606	0.003643795	0	0.000965516	0.003207585	0	0.002240544	0.003483314	0.000917971	0.002649368	0.008847342	0.000356268
compound.12	Naphthalene	Aromatic	Aromatic	0.000871535	0.000263255	0.000965076	0	0.011433247	0.000542237	0.000301421	0.001667042	0	0.000686449	0	0.00084916	0.000863988	0.004763722	0.000440778	0	0.006314991	0.000680592	0.001072963	0.00175838	0.000625502	0.000278737	0	0.000238781	0	0.003690808	0.000909641	0.000692554	0.003934049	0	0.000334718	0.003522105	0.001266111	0	0.003410882	0	0	0.007815297	0.000643684	0.000319541	0.005943531	0.000787248	0	0.005643195	0.000564891	0.003348806	0.010396282	0.001343021	0	0.004354407	0	0	0	0.001251804	0.001283217	0.001285484	0.00072223	0	0.008967157	0.00124894	0	0.007419492	0.001140312	0	0.007631643	0.000363192	0	0.007965718	0.000479484	0.000143031	0.006199842	0.000262252
compound.13	"Benzene, 2-propenyl-"	Aromatic	Aromatic	0	0	0.000909316	0	0.001098363	0.000299287	0	0	0.000299897	0.001389349	0.001933879	0.000254748	0.000597357	0.001429116	0.000103212	0	0.00103679	0.000220787	0	0.000348459	0.000200548	0	0.001830016	0.000290545	0.001156848	0.000384676	0.000280399	0	0.001250756	0.000238713	0.000376558	0.001155382	0.000536937	0	0.001086429	0.000411627	0	0.001559072	0	0.00031553	0.00120728	0	0	0.0011195	0.000109584	0.000460931	0.001739228	0.000166713	0	0.00130336	0	0	0.001497905	0.000408281	0.000548364	0.002379738	0.000165464	0	0.002060873	0.000406518	0	0.001586947	0.001481153	0	0.001245163	0	0	0.002146693	0.000470572	0.000441561	0.001655525	0
compound.14	m-xylene	Aromatic	Aromatic	0	0.01337333	0	0	0.023958434	0	0	0	0	0	0.024481635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006601524	0	0.00022926	0	0	0.017906777	0	0	0	0	0.005591741	0	0	0	0.020198718	0	0	0	0.003297221	0.000630253	0	0	0.004097917	0.012855869	0	0	0	0.008204131	0	0	0	0	0	0.006930394	0	0.001187119	0	0.00121113	0	0.010077988	0.001347042	0.050854582	0	0.008138582	0	0
compound.15	"Benzene, propyl-"	Aromatic	Aromatic	0	0.003738214	0.00304535	0	0.004284256	0.000802793	0	0.001527346	0.000802225	0	0.004590307	0.00085171	0.001604916	0.00329598	0.000405865	0	0.002629675	0.000702873	0	0.000892592	0.000712556	0	0.003373452	0.000449175	0.00144606	0	0.000896394	0	0.003174371	0.000799812	0.000503571	0.003522105	0.001120276	0	0.002504472	0.001135669	0.00198632	0.004705128	0	0	0.003547545	0.005167208	0	0.004325688	0.003491175	0.001343285	0.005041806	0.000860042	0.000881258	0.00276964	0	0.00181843	0.004200475	0.001317283	0.001489686	0.006055584	0	0	0.005938775	0.001229349	0	0.004245598	0.004235446	0.001580962	0.003741226	0.001669242	0.001425801	0.00621056	0	0.001423386	0.004189082	0
compound.16	"Benzene, hexyl-"	Aromatic	Aromatic	0	0.000829252	0.000495405	0	0.001413098	0.000336257	0	0	0.001237075	0	0.002771185	0	0	0.002476277	0	0	0.002083004	0	0	0	0	0	0.002116595	0	0.000673694	0.000436659	0	0	0.001049984	0	0	0.001566843	0.000296641	0	0.002599219	0.001433307	0	0.00300251	0	0	0.003250368	0	0	0.002878715	0	0	0.002638154	0	0	0.00120857	0	0	0.00270257	0.000512277	0	0.004897586	0	0	0.002206392	0.000399171	0	0.002019751	0.000904731	0	0.002404254	0.00034395	0.000723764	0.00454541	0	0.000455414	0.003518829	0
